survey_source,survey_year,role_or_segment,annual_income_jpy,note
JAniCA,2023,dōga (in-between animators),2630000,Entry-level animator
JAniCA,2023,genga (key animators),4000000,Mid-level animator
JAniCA,2023,anime industry overall avg,4560000,Includes producers/directors/etc.
National Tax Agency,2023,Japan private-sector employees avg,4600000,National reference benchmark
JAniCA,2019,animators aged 20-24,1550000,Young animators ~$14k USD; 1M yen below national avg for same age
JAniCA,2015,in-between animators (entry-level),1110000,From joint Agency for Cultural Affairs study
JAniCA,2009,animators aged 20-29,1100000,~$11.6k USD
JAniCA,2009,animators aged 30-39,2140000,~$22.6k USD
